,fold,training_time,rmse_calculated,mae_calculated,mape_calculated,r2_calculated
0,0,12.208584687999974,5.5162325,4.2818494,0.037679266,0.2946856
1,1,12.551382628000283,9.833566,8.869663,0.06633648,3.138266
2,2,14.964547318999848,8.497805,7.101904,0.047905613,0.6967428
3,3,20.226842872999896,6.283879,4.8605046,0.030539863,0.082496315
4,4,22.229536738000206,5.8041263,4.4929857,0.029135628,0.645314
