,fold,training_time,rmse_calculated,mae_calculated,mape_calculated,r2_calculated
0,0,23.544547413999965,5.864002,4.408162,0.037763633,0.04753773
1,1,17.27353076899999,17.065521,16.350183,0.12301572,11.181938
2,2,22.26511173,22.975693,21.749876,0.1481245,8.10348
3,3,25.42889557600006,31.02701,30.14289,0.18552302,15.257889
4,4,30.724465977000023,6.9308076,5.63669,0.035912793,0.5063747
