,fold,training_time,rmse_calculated,mae_calculated,mape_calculated,r2_calculated
0,0,15.552284410999619,5.8785586,4.427859,0.037976503,0.036621895
1,1,19.53742885299971,16.318197,15.571446,0.11709244,10.142165
2,2,25.211665850999907,24.640789,23.461136,0.15994518,9.426889
3,3,29.419989274999807,31.596582,30.689707,0.18887803,15.811592
4,4,35.090175862999786,9.585235,7.626223,0.049936038,1.1933509
