,loss,mean_absolute_error,val_loss,val_mean_absolute_error,lr,fold
0,2.3066930770874023,0.964398980140686,0.00907276850193739,0.07936157286167145,0.1,0
1,0.07229071855545044,0.22589537501335144,0.03883843123912811,0.1686326563358307,0.1,0
2,0.05641569197177887,0.19946174323558807,0.03966880962252617,0.182449072599411,0.1,0
3,0.006454495247453451,0.06335882097482681,0.03342968970537186,0.16493774950504303,0.1,0
4,0.006444006692618132,0.06223323568701744,0.024194173514842987,0.1372111737728119,0.1,0
5,0.00624067522585392,0.06038563698530197,0.03151247650384903,0.15926608443260193,0.1,0
6,0.006061351392418146,0.06106431037187576,0.035233061760663986,0.1700800210237503,0.1,0
7,0.006202904973179102,0.06178659573197365,0.026830337941646576,0.1452486515045166,0.1,0
8,0.005972234532237053,0.05976872518658638,0.03251919895410538,0.16226913034915924,0.1,0
9,0.0059234704822301865,0.05955062434077263,0.030541928485035896,0.15634910762310028,0.1,0
10,0.00594076095148921,0.05997387319803238,0.030272064730525017,0.15552638471126556,0.1,0
11,0.006122694816440344,0.06183501332998276,0.030849266797304153,0.1572798192501068,0.1,0
12,0.00596610689535737,0.06007527559995651,0.027641039341688156,0.1475984901189804,0.1,0
13,0.005879321601241827,0.05942261591553688,0.03322897478938103,0.16435380280017853,0.1,0
14,0.006362186279147863,0.06302708387374878,0.027995962649583817,0.14862918853759766,0.1,0
15,0.0065271323546767235,0.06255809962749481,0.02998322807252407,0.15464484691619873,0.1,0
16,0.006634287070482969,0.06354585289955139,0.03123791702091694,0.15844741463661194,0.1,0
17,0.005933667533099651,0.05981899052858353,0.023977156728506088,0.13652794063091278,0.1,0
18,0.006497041787952185,0.06338407844305038,0.03721679374575615,0.17564451694488525,0.1,0
19,0.006613656412810087,0.06258510053157806,0.02549915947020054,0.14127063751220703,0.1,0
20,0.006160063669085503,0.06349444389343262,0.03634781762957573,0.17322248220443726,0.1,0
0,5.81496000289917,1.057641625404358,0.26819106936454773,0.5125800967216492,0.1,1
1,0.027205832302570343,0.13522869348526,0.09012871235609055,0.28623366355895996,0.1,1
2,0.018728114664554596,0.10876934975385666,0.06983832269906998,0.2476717233657837,0.1,1
3,0.017007214948534966,0.10356424003839493,0.05843367427587509,0.2235269546508789,0.1,1
4,0.01564355380833149,0.10250871628522873,0.08576755225658417,0.2783392667770386,0.1,1
5,0.01397181861102581,0.09494433552026749,0.18096208572387695,0.4175601005554199,0.1,1
6,0.019047733396291733,0.11385169625282288,0.12676632404327393,0.3453764319419861,0.1,1
7,0.014569894410669804,0.09834042191505432,0.08948313444852829,0.28507912158966064,0.1,1
8,0.0140987578779459,0.0986168384552002,0.08149316161870956,0.27037328481674194,0.1,1
9,0.017399420961737633,0.10920404642820358,0.14808060228824615,0.37545180320739746,0.1,1
10,0.015368513762950897,0.098910391330719,0.12358012050390244,0.3406484127044678,0.1,1
11,0.013108780607581139,0.09457708895206451,0.10020958632230759,0.3036811649799347,0.1,1
12,0.013124699704349041,0.09299924969673157,0.08069472014904022,0.26885849237442017,0.1,1
13,0.014554044231772423,0.09950317442417145,0.15024727582931519,0.37837305665016174,0.1,1
14,0.019873060286045074,0.11342047154903412,0.12279664725065231,0.33947551250457764,0.1,1
15,0.015658456832170486,0.10108322650194168,0.08193039149045944,0.271199107170105,0.1,1
16,0.018031230196356773,0.1108652800321579,0.14220815896987915,0.3674154579639435,0.1,1
17,0.013987628743052483,0.09664472937583923,0.14435650408267975,0.37037599086761475,0.1,1
18,0.013758049346506596,0.09578515589237213,0.12481795996427536,0.34249311685562134,0.1,1
19,0.014542604796588421,0.09903749078512192,0.10661683231592178,0.31425756216049194,0.1,1
20,0.015591117553412914,0.10499722510576248,0.17841729521751404,0.414456307888031,0.1,1
21,0.02082020230591297,0.1177905946969986,0.18732552230358124,0.42522090673446655,0.1,1
22,0.015315582044422626,0.10118040442466736,0.11869647353887558,0.3332688808441162,0.1,1
23,0.013335242867469788,0.09329747408628464,0.14004236459732056,0.36440610885620117,0.1,1
0,0.5425212979316711,0.46575748920440674,0.11616770178079605,0.3181898295879364,0.1,2
1,0.061290252953767776,0.19780008494853973,0.07509230077266693,0.24831968545913696,0.1,2
2,0.039764516055583954,0.16344262659549713,0.09408832341432571,0.28250306844711304,0.1,2
3,0.04046032577753067,0.16653551161289215,0.10930927097797394,0.30743932723999023,0.1,2
4,0.03789422661066055,0.1633787900209427,0.10202477872371674,0.2956724464893341,0.1,2
5,0.038547713309526443,0.1660335510969162,0.12350057065486908,0.329303115606308,0.1,2
6,0.03815570846199989,0.16581155359745026,0.17487391829490662,0.3986952304840088,0.1,2
7,0.04011635109782219,0.16567614674568176,0.19728213548660278,0.4254828989505768,0.1,2
8,0.038234155625104904,0.16340474784374237,0.20138205587863922,0.43020614981651306,0.1,2
9,0.038629498332738876,0.16570840775966644,0.15520551800727844,0.373629093170166,0.1,2
10,0.03684743493795395,0.1600591093301773,0.12954901158809662,0.3381999731063843,0.1,2
11,0.03788693994283676,0.1630242019891739,0.11694905161857605,0.31939205527305603,0.1,2
12,0.04184413328766823,0.1678214818239212,0.07438362389802933,0.24696774780750275,0.1,2
13,0.04052143916487694,0.16409723460674286,0.08468925207853317,0.266064316034317,0.1,2
14,0.04277932643890381,0.17604757845401764,0.10678400099277496,0.30338698625564575,0.1,2
15,0.04196542128920555,0.1667209416627884,0.10072486847639084,0.2935559153556824,0.1,2
16,0.038311731070280075,0.1635054498910904,0.09922900050878525,0.29110127687454224,0.1,2
17,0.03698088601231575,0.16364449262619019,0.16707636415958405,0.3889480531215668,0.1,2
18,0.03726803883910179,0.16356013715267181,0.16637484729290009,0.3880593180656433,0.1,2
19,0.03758285567164421,0.1638326793909073,0.18067623674869537,0.4057987332344055,0.1,2
