,fold,loss,mae,val_loss,val_mae_scaled,val_mae_original,r2_calculated,training_time
0,0,"[46.254364013671875, 15.124699592590332, 0.2690092623233795, 0.31187108159065247, 0.15052364766597748, 0.3164987564086914, 0.14753378927707672, 0.09249330312013626, 0.11990445852279663, 0.05377195402979851, 0.03448224812746048, 0.035216767340898514, 0.026052704080939293, 0.011935926973819733, 0.011409248225390911, 0.008707929402589798, 0.009404447861015797, 0.007369506638497114, 0.006916435901075602, 0.006326856091618538, 0.006384368520230055, 0.005914356559514999, 0.006738845258951187, 0.0059427828527987, 0.00609626853838563, 0.0065794577822089195, 0.006556494627147913, 0.0060112811625003815, 0.0061583733186125755, 0.006357196718454361, 0.006075268145650625, 0.006016035098582506]","[5.37052059173584, 3.571272850036621, 0.4487079083919525, 0.5331601500511169, 0.3327842354774475, 0.5209341049194336, 0.3351456820964813, 0.2542097270488739, 0.3281237483024597, 0.20717169344425201, 0.15899932384490967, 0.15609890222549438, 0.14027072489261627, 0.08992710709571838, 0.08277431130409241, 0.07486899942159653, 0.07721427828073502, 0.0665355697274208, 0.0668364092707634, 0.06267157196998596, 0.06406868994235992, 0.060634151101112366, 0.06378219276666641, 0.05947936326265335, 0.06033468246459961, 0.06292755156755447, 0.06324964761734009, 0.06032932177186012, 0.060651130974292755, 0.06192385032773018, 0.06151382997632027, 0.06026502326130867]","[30.705217361450195, 0.971738874912262, 0.2568231225013733, 0.015127726830542088, 0.7159156203269958, 0.023702578619122505, 0.10978119820356369, 0.23621000349521637, 0.041216183453798294, 0.01876610703766346, 0.15402060747146606, 0.01047292910516262, 0.024609072133898735, 0.06369928270578384, 0.012178677134215832, 0.05673651397228241, 0.021445443853735924, 0.03052932769060135, 0.03369324281811714, 0.02430623769760132, 0.03840625658631325, 0.022559737786650658, 0.03530055284500122, 0.02706620842218399, 0.03607991710305214, 0.025712531059980392, 0.03325500711798668, 0.03222878277301788, 0.032234739512205124, 0.029919283464550972, 0.03030768781900406, 0.028312010690569878]","[5.544643878936768, 0.9853898882865906, 0.4935130476951599, 0.10755254328250885, 0.8449739813804626, 0.1356629878282547, 0.3131144940853119, 0.4808242917060852, 0.1866128146648407, 0.10379683971405029, 0.3849557042121887, 0.08904265612363815, 0.13852016627788544, 0.23849749565124512, 0.09603904187679291, 0.22381681203842163, 0.1284998059272766, 0.1563107967376709, 0.16570086777210236, 0.137566477060318, 0.17897307872772217, 0.1320987045764923, 0.17027102410793304, 0.1459377557039261, 0.17247293889522552, 0.1419188380241394, 0.1644296646118164, 0.16140708327293396, 0.16142481565475464, 0.15445123612880707, 0.1556352823972702, 0.14957654476165771]",12.3859,2.1210,14.433181925000099
1,1,"[34.85617446899414, 2.4704689979553223, 0.9857536554336548, 0.49546223878860474, 0.23842740058898926, 0.12635405361652374, 0.05491718277335167, 0.03769255056977272, 0.02138161100447178, 0.01609225384891033, 0.015259945765137672, 0.013328718952834606, 0.012683023698627949, 0.013214223086833954, 0.012943621724843979, 0.013209542259573936, 0.013026570901274681, 0.013038326986134052, 0.013207445852458477, 0.013454733416438103, 0.012873908504843712, 0.013279607519507408, 0.012931972742080688, 0.012978053651750088, 0.01338949240744114, 0.012797528877854347]","[4.839548587799072, 1.4633688926696777, 0.9161684513092041, 0.6287746429443359, 0.4302496016025543, 0.30846017599105835, 0.195375457406044, 0.16191968321800232, 0.11953851580619812, 0.10338688641786575, 0.10377732664346695, 0.09690186381340027, 0.09325075894594193, 0.09475553035736084, 0.09456372261047363, 0.09586696326732635, 0.09558025002479553, 0.09455673396587372, 0.09463919699192047, 0.09530069679021835, 0.09319817274808884, 0.09454359859228134, 0.09376707673072815, 0.09679176658391953, 0.09490697830915451, 0.0941053032875061]","[4.686903953552246, 1.2273907661437988, 2.11074161529541, 0.21532252430915833, 0.7347845435142517, 0.011791009455919266, 0.3190613090991974, 0.04145529121160507, 0.19489946961402893, 0.07987292855978012, 0.14397910237312317, 0.10175815969705582, 0.13644994795322418, 0.11150719970464706, 0.11667339503765106, 0.13066138327121735, 0.11210959404706955, 0.11632708460092545, 0.11568145453929901, 0.12534651160240173, 0.10543800890445709, 0.11507049947977066, 0.11468348652124405, 0.139651358127594, 0.10749150067567825, 0.13687936961650848]","[2.1683034896850586, 1.0967135429382324, 1.4548962116241455, 0.4452534019947052, 0.8564484715461731, 0.09135399758815765, 0.5605268478393555, 0.18219295144081116, 0.4341604709625244, 0.2672903835773468, 0.3698577880859375, 0.30627167224884033, 0.3593580722808838, 0.32209211587905884, 0.33016276359558105, 0.3510684669017792, 0.3230437636375427, 0.329628050327301, 0.3286288380622864, 0.34327787160873413, 0.31233924627304077, 0.3276803493499756, 0.3270781636238098, 0.36386021971702576, 0.31567350029945374, 0.3599652945995331]",30.0672,10.7644,17.315912802000184
2,2,"[18.142850875854492, 0.11399642378091812, 0.051513198763132095, 0.03891078755259514, 0.037306755781173706, 0.04072582721710205, 0.03819189965724945, 0.04143285006284714, 0.046309374272823334, 0.04189341142773628, 0.039517950266599655, 0.03792847320437431, 0.040669139474630356, 0.04080099239945412, 0.04068053141236305, 0.04214319959282875, 0.04468996822834015, 0.06386271119117737, 0.07178199291229248, 0.06393545866012573, 0.05097837373614311, 0.03816837817430496, 0.0371260829269886, 0.03956282511353493, 0.04411926120519638, 0.04948974400758743, 0.04813925176858902, 0.04525034502148628, 0.03740612417459488, 0.03946584463119507, 0.043825700879096985, 0.04039807617664337, 0.03758864849805832, 0.03630897402763367, 0.03635865077376366, 0.038352686911821365, 0.04049425199627876]","[2.011028528213501, 0.26652488112449646, 0.18915915489196777, 0.16645042598247528, 0.1655464917421341, 0.16837136447429657, 0.16355429589748383, 0.16218654811382294, 0.18191702663898468, 0.1662970632314682, 0.16445541381835938, 0.16363830864429474, 0.16660113632678986, 0.16880273818969727, 0.17226071655750275, 0.17440356314182281, 0.1749645471572876, 0.20366990566253662, 0.21836340427398682, 0.20260368287563324, 0.1889105886220932, 0.15956692397594452, 0.16351886093616486, 0.1691799759864807, 0.16850991547107697, 0.18457327783107758, 0.175302192568779, 0.17425717413425446, 0.1601707488298416, 0.16695772111415863, 0.1674177050590515, 0.16311000287532806, 0.1599368005990982, 0.16231852769851685, 0.15891264379024506, 0.1668233424425125, 0.1710471510887146]","[1.0439276695251465, 0.39065369963645935, 0.22331272065639496, 0.18184442818164825, 0.19894304871559143, 0.15934093296527863, 0.24518205225467682, 0.17785555124282837, 0.12106365710496902, 0.19448336958885193, 0.10214727371931076, 0.08953063189983368, 0.17133890092372894, 0.06948217749595642, 0.0798334926366806, 0.2100106030702591, 0.04318738728761673, 0.11090593039989471, 0.38091912865638733, 0.15568651258945465, 0.08434455841779709, 0.19670870900154114, 0.09700344502925873, 0.10291269421577454, 0.09406647831201553, 0.18864206969738007, 0.2656089663505554, 0.13531838357448578, 0.1623576134443283, 0.24824757874011993, 0.11073727160692215, 0.1582822948694229, 0.14748746156692505, 0.1278657615184784, 0.20677624642848969, 0.09590514749288559, 0.08674011379480362]","[1.0101821422576904, 0.6100252866744995, 0.45464983582496643, 0.40721410512924194, 0.4274025559425354, 0.3790348768234253, 0.47779732942581177, 0.4023609161376953, 0.3256511688232422, 0.42222872376441956, 0.2958711087703705, 0.2746548056602478, 0.3943057954311371, 0.23742637038230896, 0.25717851519584656, 0.4399833083152771, 0.17988958954811096, 0.309974730014801, 0.6020750403404236, 0.3742618262767792, 0.2654421329498291, 0.42481812834739685, 0.2874104678630829, 0.2971094846725464, 0.28246599435806274, 0.41535598039627075, 0.49845999479293823, 0.3464772701263428, 0.3829309046268463, 0.480954110622406, 0.3097078800201416, 0.37765830755233765, 0.3633286654949188, 0.33574730157852173, 0.4363436996936798, 0.28557148575782776, 0.26973676681518555]",23.4303,6.9143,25.64204727699962
