CO2 Emission,Year,Month
153.585,1998,10
145.581,1998,11
154.343,1998,12
144.707,1999,1
134.447,1999,2
152.607,1999,3
148.926,1999,4
154.708,1999,5
152.885,1999,6
157.498,1999,7
159.274,1999,8
148.566,1999,9
158.876,1999,10
149.733,1999,11
165.733,1999,12
146.201,2000,1
146.085,2000,2
155.354,2000,3
152.263,2000,4
158.52,2000,5
157.023,2000,6
162.879,2000,7
164.484,2000,8
153.129,2000,9
161.534,2000,10
152.833,2000,11
161.74,2000,12
150.547,2001,1
139.579,2001,2
157.025,2001,3
153.091,2001,4
160.005,2001,5
154.542,2001,6
164.193,2001,7
161.735,2001,8
149.5,2001,9
158.846,2001,10
150.345,2001,11
152.096,2001,12
152.348,2002,1
140.487,2002,2
158.831,2002,3
156.497,2002,4
162.441,2002,5
159.589,2002,6
164.205,2002,7
165.522,2002,8
152.946,2002,9
159.745,2002,10
156.984,2002,11
162.608,2002,12
151.486,2003,1
141.777,2003,2
157.913,2003,3
154.787,2003,4
160.096,2003,5
156.997,2003,6
163.592,2003,7
168.581,2003,8
155.153,2003,9
163.515,2003,10
156.837,2003,11
162.666,2003,12
157.164,2004,1
153.163,2004,2
164.533,2004,3
161.221,2004,4
165.486,2004,5
163.378,2004,6
169.78,2004,7
169.555,2004,8
160.535,2004,9
168.76,2004,10
162.127,2004,11
166.619,2004,12
161.372,2005,1
150.283,2005,2
167.523,2005,3
163.376,2005,4
171.07,2005,5
165.419,2005,6
172.746,2005,7
174.577,2005,8
161.38,2005,9
168.184,2005,10
163.948,2005,11
170.869,2005,12
166.278,2006,1
151.188,2006,2
170.908,2006,3
165.898,2006,4
171.87,2006,5
169.082,2006,6
176.748,2006,7
177.697,2006,8
164.496,2006,9
172.139,2006,10
163.188,2006,11
172.368,2006,12
166.539,2007,1
153.849,2007,2
170.15,2007,3
167.807,2007,4
175.933,2007,5
172.103,2007,6
178.716,2007,7
179.659,2007,8
166.603,2007,9
172.3,2007,10
166.54,2007,11
169.311,2007,12
160.708,2008,1
149.153,2008,2
164.511,2008,3
162.429,2008,4
168.608,2008,5
160.98,2008,6
166.711,2008,7
165.544,2008,8
149.45,2008,9
163.373,2008,10
153.346,2008,11
158.827,2008,12
154.714,2009,1
139.937,2009,2
158.401,2009,3
155.674,2009,4
156.92,2009,5
157.241,2009,6
160.418,2009,7
162.311,2009,8
150.389,2009,9
158.031,2009,10
150.458,2009,11
158.361,2009,12
150.904,2010,1
137.772,2010,2
158.173,2010,3
157.455,2010,4
161.833,2010,5
159.503,2010,6
165.279,2010,7
165.181,2010,8
158.126,2010,9
160.183,2010,10
152.968,2010,11
158.596,2010,12
151.851,2011,1
139.488,2011,2
157.837,2011,3
153.554,2011,4
158.642,2011,5
158.828,2011,6
160.186,2011,7
161.575,2011,8
153.192,2011,9
155.55,2011,10
149.536,2011,11
154.531,2011,12
145.566,2012,1
142.098,2012,2
152.38,2012,3
150.602,2012,4
157.033,2012,5
155.372,2012,6
157.855,2012,7
160.749,2012,8
147.241,2012,9
153.265,2012,10
147.265,2012,11
146.39,2012,12
146.517,2013,1
134.243,2013,2
153.078,2013,3
149.442,2013,4
156.356,2013,5
152.814,2013,6
