,fold,training_time,mae_scaled_calculated,mae_calculated,mape_calculated,r2_calculated
0,0,15.95087495000007,0.15243834,12.95116,0.09915152,2.3661141
1,1,21.173435454000355,0.33015677,28.050117,0.18626979,9.36852
2,2,28.058369360000142,0.3579427,30.410816,0.18734223,11.690582
